User ID,Username,Email,First Name,Last Name,Whatsapp Number,Company Name,Company Email,Company Phone Number,Company Location,Company Type,Hire Resources,Company Strength,Company Linkedin,Company Website,Vendor Linkedin,Role
68a8599022cb5ca855909472,ashivn,ashvinomprakashz24@gmail.com,Prajapati,omprakashbhai,1234565431,silveroak university,ashvinomprakashz24@gmail.com,748784480,silveroak university,service,c2h,200,https://in.linkedin.com/,https://tb-front-lime.vercel.app/userprofileAdd,https://in.linkedin.com/,vendor
68dcf974f2b637eb3868c212,sonalRathod,sonal@mail.com,sonal,Rathod,9876543217,,,,,service,c2h,,,,,vendor
68e760b1b78acd923a083c8f,SaraAho,saraAho@yopmail.com,Sara,Aho,9876543214,,,,,service,c2h,,,,,vendor
6911ce61847f498404947a52,ashviiirn,vend1@example.com,Acme Ltd,,9876543215,,,,,service,c2h,,,,,vendor
6912c97812c06290dc6c5c7a,vendor3,vendor3@example.com,TechSoft Pvt Ltd,omprakashbhai,9876543216,darama,,6477477474,,product,c2h,,,,,vendor
69142ba023201f8783c7f52a,v001,v001_new@xyz.com,A P Pvt Ltd,,9876543213,,,,,product,c2h,,,,,vendor
69147594c9694b4e5c4aaef0,v311,v311@example.com,Acme Ltd,,9876543210,Acme Ltd,info@acme.com,9123456789,New York,product,c2h,200,https://linkedin.com/acme,https://acme.com,https://linkedin.com/vendor1,vendor
691480ca047e9fddad1f4b71,PeterRose17,peterrose17@yahoo.com,"Thomas, Perez and Mcdowell",,1009108008,"Thomas, Perez and Mcdowell","info@thomas,perezandmcdowell.com",9231266123,Stevenbury,both,c2h,146,https://west.com/,https://www.molina-hobbs.com/,http://www.underwood-lang.com/,vendor
691480cb047e9fddad1f4b76,StephanieBlankenship13,stephanieblankenship13@gmail.com,Little-Sanford,,3563942267,Little-Sanford,info@little-sanford.com,9644891035,West Erinport,both,c2h,655,http://www.griffin-hernandez.biz/,http://stark-king.com/,http://www.steele.net/,vendor
691480cc047e9fddad1f4b7b,KellyStewart35,kellystewart35@hotmail.com,Casey-Mitchell,,8637563154,Casey-Mitchell,info@casey-mitchell.com,3245143783,North Rebeccaborough,product,c2h,263,http://hart-duncan.com/,https://weaver.com/,https://smith.com/,vendor
691480cd047e9fddad1f4b80,TaylorTucker39,taylortucker39@yahoo.com,Howard-Davis,,8450887266,Howard-Davis,info@howard-davis.com,5236060257,Gregoryberg,service,c2c,958,http://www.andersen.com/,https://cruz-richard.com/,http://www.henry.com/,vendor
691480ce047e9fddad1f4b85,MatthewEvans22,matthewevans22@hotmail.com,Jones-Thomas,,6078267594,Jones-Thomas,info@jones-thomas.com,6845488379,Guzmanberg,both,all,858,https://wagner.com/,http://www.porter.info/,https://lopez-smith.net/,vendor
691480cf047e9fddad1f4b8a,ChristopherValdez2,christophervaldez2@hotmail.com,Bailey-Brown,,4371934928,Bailey-Brown,info@bailey-brown.com,9753365752,East Stephen,both,c2c,412,https://johnson.com/,https://johnson.com/,https://www.avery-mccall.com/,vendor
691480d0047e9fddad1f4b8f,JasmineWhite8,jasminewhite8@gmail.com,Ward-Reyes,,6778500541,Ward-Reyes,info@ward-reyes.com,9488135584,East Jasonberg,service,c2c,480,https://www.carpenter-coleman.com/,http://www.jackson.com/,https://huber.com/,vendor
691480d0047e9fddad1f4b94,ElizabethPierce98,elizabethpierce98@yahoo.com,Allen-Johnson,,6332417361,Allen-Johnson,info@allen-johnson.com,8112774795,Jasmineshire,product,all,23,http://moody.info/,https://glover-carpenter.org/,https://donaldson.info/,vendor
691480d2047e9fddad1f4b99,JamesLandry27,jameslandry27@yahoo.com,Velasquez Inc,,3949522468,Velasquez Inc,info@velasquezinc.com,3621767607,North Briantown,service,in-house,64,https://www.maldonado-hamilton.com/,https://hayes.com/,https://www.weiss.org/,vendor
691480d2047e9fddad1f4b9e,MichelleShepherd33,michelleshepherd33@yahoo.com,"Zuniga, Silva and Clarke",,2699897343,"Zuniga, Silva and Clarke","info@zuniga,silvaandclarke.com",3314809179,West Courtney,both,in-house,570,https://navarro-lopez.com/,https://www.brown.info/,http://www.ellis.com/,vendor
69148d2220eced0f47266939,rihs,rkk_new@xyz.com,Jio,,9011112234,Jio,ooo.jo@xyz.com,9400111222,Bangalore,product,c2c,500,,https://jio.com,,vendor
69156326542f3382e43c3cea,rihs0,rkok_new@xyz.com,Jio,,9011112233,Jio,pooo.jo@xyz.com,9400111222,Bangalore,product,c2c,500,,https://jio.com,,vendor
69156988e6af7580cbca4ec1,rihf,rrrk_new@xyz.com,Jio,,907777777,eio,rooo.jo@xyz.com,9400111222,Bangalore,product,c2c,500,,https://jio.com,,vendor
